objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651754560389969,210.234583629409,2.82141881256668,19.42333,22.96913,20.98642,18.87379,18.55742,3.545805,1.563093,2.112635,0.5495415,0.8659039,0.300796,0.878665835890109,77069.8521782953
1237651754560389992,210.24038018797,2.77846548078549,18.71257,21.16253,19.90943,18.24458,17.90347,2.449957,1.196861,1.664856,0.4679947,0.8090973,0.269525,1.44287393831351,70215.428993637
1237651754560389997,210.242969402628,2.82053354088997,19.38612,22.76348,20.83176,18.84905,18.65929,3.377363,1.445642,1.982706,0.5370636,0.7268276,0.289797,0.851827741560493,74687.2577287085
1237651754560390000,210.241559431596,2.82769806288293,21.28736,23.53827,21.90602,21.03035,20.70005,2.250904,0.6186581,0.8756676,0.2570095,0.5873089,0.259291,0.760248356665247,67917.6998434406
1237651754560390011,210.244272434724,2.87974170732132,20.02251,22.95289,20.89027,19.59329,19.40653,2.930386,0.8677635,1.296982,0.4292183,0.6159744,0.219654,0.204473913589761,58758.7019222191
1237651754560390032,210.247590992519,2.84386393717618,19.70616,22.5413,21.04405,19.23188,18.92664,2.83514,1.337891,1.812172,0.4742813,0.7795238,0.255994,0.515567336593227,67171.6743955088
1237651754560390042,210.249178488746,2.86719091656289,19.31575,24.08098,20.81747,18.80975,18.4701,4.765232,1.501726,2.007723,0.5059967,0.8456459,0.27993,0.208855751220195,72523.7936475078
1237651754560390055,210.250460064312,2.87791666312627,21.39616,24.93325,23.45987,21.17038,20.93689,3.537086,2.063711,2.289492,0.2257805,0.4592724,0.265072,0.116225115052285,69218.9805205696
1237651754560390056,210.250782013677,2.88126016221441,22.36069,25.3949,24.10814,23.62897,22.37925,3.03421,1.747456,0.4791756,-1.26828,-0.01856041,0.227619,0.118225846204414,60632.7818987544
1237651754560390211,210.190896216005,2.84613854115446,21.67354,25.62301,23.12897,20.88915,21.13626,3.949471,1.455423,2.239813,0.7843895,0.5372887,0.298352,1.06436919215895,76543.0576613561
1237651754560390242,210.217268056254,2.82879769194653,22.32679,26.1937,24.21322,22.20796,21.81857,3.866913,1.886433,2.00526,0.1188278,0.5082207,0.277926,0.917104405180407,72081.3552603401
1237651754560454691,210.255129097557,2.85446787112506,19.94711,24.45416,21.34197,19.46249,19.16917,4.507057,1.394865,1.879484,0.4846191,0.7779331,0.263779,0.344302298490567,68928.7003577761
1237651754560454701,210.277395516628,2.84871278705587,17.81564,21.43579,19.27337,17.31129,16.89966,3.620146,1.457727,1.962076,0.5043488,0.9159775,0.236533,0.499092384014247,62709.9735474459
1237651754560454751,210.307210424347,2.78306738043073,19.47526,22.41563,20.89496,18.90513,18.55413,2.940369,1.419699,1.98983,0.5701313,0.9211254,0.29484,1.5191539582506,75783.4359549868
1237651754560454807,210.263058616007,2.8791671988786,18.66105,22.62924,20.24326,18.14992,17.90691,3.968193,1.582211,2.093342,0.5111313,0.754137,0.293009,0.063415527451874,75386.1879048151
1237651754560454809,210.260903565688,2.86783258826875,19.18873,24.64024,20.74038,18.68842,18.33479,5.451511,1.551657,2.05196,0.5003033,0.853941,0.279914,0.154359451265589,72520.2710457074
1237651754560454811,210.264514971995,2.8766561510808,18.94041,23.5931,20.42304,18.4277,18.20631,4.652695,1.482632,1.995344,0.5127125,0.7340984,0.266838,0.087172758366395,69614.7860658391
1237651754560454812,210.261915667748,2.8691261342424,18.95156,22.76966,20.42116,18.42876,18.02545,3.818092,1.469593,1.992395,0.5228024,0.9261112,0.262991,0.140521083912205,68751.5520906493
1237651754560454817,210.266367069086,2.87251359518117,19.58565,25.86743,20.95496,19.04105,18.78456,6.281778,1.369314,1.913916,0.5446014,0.8010826,0.289518,0.138372151249695,74626.4087006491
1237651754560454818,210.257893135619,2.86459250248527,19.79994,23.02544,21.10842,19.33177,19.065,3.225496,1.308477,1.776648,0.4681702,0.7349396,0.252019,0.197261361470829,66268.4410673555
1237651754560454820,210.255410394543,2.87011517189005,19.90101,23.25848,21.34972,19.4022,19.04362,3.357466,1.448706,1.947523,0.4988174,0.8573971,0.279919,0.127119240111433,72521.3751517981
1237651754560454828,210.255325325166,2.87267412978737,20.96318,22.84715,21.51467,20.78025,20.46032,1.88397,0.5514889,0.7344112,0.1829224,0.5028591,0.210712,0.0947405080820131,56634.3688351981
1237651754560454854,210.276996664853,2.83955231384836,19.07661,22.5312,20.66395,18.54074,18.17316,3.454592,1.587343,2.123209,0.5358658,0.9034481,0.299747,0.610624444665104,76843.9215859004
1237651754560454855,210.279255247955,2.83983364787042,19.73987,23.09757,21.1118,19.23976,18.84773,3.357704,1.371935,1.872044,0.5001087,0.8921356,0.281207,0.62141442241201,72805.180527684
